Id,Content
Main_LahaiRoi_3_1_1_4,"Tôi sẽ ở đây, chờ đợi."
Main_LahaiRoi_3_1_1_1,"{PlayerName}, bạn cảm thấy thế nào?"
Main_LahaiRoi_3_1_1_2,Đường hầm không gian đến Lahai-Roi đã ổn định. Bạn có thể khởi hành bất cứ khi nào sẵn sàng.
Main_LahaiRoi_3_1_10_1,"Chào mừng đến với Học viện Startorch, {PlayerName}!"
Main_LahaiRoi_3_1_10_2,"Hãy đăng ký Thiết bị đầu cuối của bạn tại Mạng lưới Cộng hưởng. Vì bạn chưa có Máy ghi băng tần, chỉ cần tải thông tin của bạn lên. Điều đó sẽ giúp bạn có quyền truy cập vào khuôn viên và giấy phép cho một phương tiện."
Main_LahaiRoi_3_1_1_3,Gặp tôi tại quán cà phê Shashou sau khi bạn đã chuẩn bị đầy đủ mọi thứ cần thiết.
Main_LahaiRoi_3_1_10_3,"(Giờ khi đã vào bên trong khuôn viên trường, những dao động tần số trong không gian dường như đã ổn định?)"
Main_LahaiRoi_3_1_10_5,"Được rồi, <te href=700005>phòng y tế</te> là lựa chọn rồi. Rất nhiều tân binh bị rối loạn tần số do Bão Hư Không khi mới đến. Còn cậu? Cậu đã hạ cánh trong khu vực <te href=700004>Voidworm</te> đang hoạt động. Hơn nữa, tôi... đã lỡ va vào cậu."
Main_LahaiRoi_3_1_10_4,Bạn có vẻ hơi khác thường. Bạn chắc là ổn để tiếp tục chứ?
Main_LahaiRoi_3_1_10_8,Bạn thực sự nên chuẩn bị cái cớ đó kỹ hơn.
Main_LahaiRoi_3_1_10_7,"Chà… Tôi cần thu thập một số dữ liệu sinh thái cho nghiên cứu của mình. Khoan, không phải vậy. Tôi đang thử nghiệm chiếc xe đạp cải tiến mới của mình. Không, phải nói là—"
Main_LahaiRoi_3_1_10_6,Khu vực Voidworm hoạt động à? Cậu đã làm gì ở một nơi như thế?
Main_LahaiRoi_3_1_10_9,"Xin lỗi! Chuyện này... phức tạp lắm. Cậu giữ bí mật này giữa chúng ta nhé? Nếu mấy thầy cô biết tớ trốn học, đi chơi bạt mạng rồi đụng phải ai đó. Ui, hồ sơ của tớ không chịu nổi thêm một lần vi phạm nữa đâu."
Main_LahaiRoi_3_1_10_10,"Coi như tôi nợ cậu một ân huệ lớn! Nếu cậu gặp rắc rối ở đây, cứ đến tìm tôi. Nếu tôi có thể làm gì đó, tôi sẽ làm bất cứ điều gì cậu yêu cầu!"
Main_LahaiRoi_3_1_10_11,Tôi sẽ ghi nhớ điều đó.
Main_LahaiRoi_3_1_10_12,"""Tôi sẽ làm bất cứ điều gì bạn yêu cầu"" là một lời hứa lớn đấy, bạn biết mà."
