Id,Content
Main_LahaiRoi_3_2_708_2,Liệu những dự đoán của Solisylum về Bão Hư Không có thể sai lầm...?
Main_LahaiRoi_3_2_708_1,Có phải mắt tôi hoa rồi không? Đó là... một Cơn Bão Hư Không sao? Nhưng Solisylum không hề báo động!
Main_LahaiRoi_3_2_708_3,Không thể nào! Những tiên đoán của Bộ Lục Nhật không bao giờ sai! Chắc hẳn chúng ta đã bỏ lỡ lời cảnh báo!
Main_LahaiRoi_3_2_709_1,Bạn ổn chứ?!
Main_LahaiRoi_3_2_708_5,Vâng. Mong rằng cô ấy chỉ đơn giản là quên nói với chúng ta thôi...
Main_LahaiRoi_3_2_708_4,"Chờ đã, tôi nhớ ra rồi! Astrid vừa trở về từ Rừng Bjartr! Là một Shepherdess, chắc hẳn cô ấy biết nhiều hơn. Chúng ta sẽ đi hỏi cô ấy!"
Main_LahaiRoi_3_2_709_3,Xem này? Vẫn là da thịt đấy. Ta chưa tan biến thành một tần số nào cả...
Main_LahaiRoi_3_2_709_2,Đó chẳng là gì cả. Chỉ là khoảnh khắc ngắn ngủi trong Bão Hư Không thôi. Một vài bộ phận của Bầy Siêu Thể mà ta mang theo... cũng đủ che chắn đôi chút.
Main_LahaiRoi_3_2_709_4,Đột nhiên xuất hiện một Cơn Bão Hư Không khủng khiếp như thế này...
Main_LahaiRoi_3_2_1_2,Tôi chấp nhận.
Main_LahaiRoi_3_2_1_3,Chắc chắn rồi. Ở đâu?
Main_LahaiRoi_3_2_709_5,Tôi nhớ là các thầy thuốc ở Học viện Startorch có thể kiểm tra bệnh Tần số! Chỗ đó không xa đâu. Chúng ta nên đến đó ngay thôi!
Main_LahaiRoi_3_2_1_5,"Ngoài ra, tớ còn muốn hỏi cậu một chuyện chẳng liên quan gì đến công việc cả."
Main_LahaiRoi_3_2_1_4,Cảm ơn cậu. Chúng ta sẽ gặp nhau ở ký túc xá Học viện vào chín giờ sáng mai nhé. Mình sẽ đến đúng giờ.
Main_LahaiRoi_3_2_1_7,"Tôi không sao. Sự mất mát tần số đã tạm dừng, nhưng cảm ơn cậu đã hỏi thăm."
Main_LahaiRoi_3_2_1_6,"Trong cuộc tấn công của Voidworm vào Học viện Startorch, bạn có bị thương không? Nếu gặp lại bất kỳ vấn đề nào về tần số, chúng tôi có thể hỗ trợ. Tôi sẽ trực tiếp xử lý trường hợp của bạn."
Main_LahaiRoi_3_2_1_1,"Xin chào, tôi là Mornye đến từ Spacetrek Collective.
Xin lỗi đã làm phiền bạn, nhưng tôi cần một bản báo cáo rõ ràng về những gì đã xảy ra trong sự cố hỏng hóc của Hyvatia Detector, để tôi có thể lên kế hoạch sửa chữa. Vì bạn và Lynae là những nhân chứng duy nhất có mặt tại hiện trường, tôi muốn gặp cả hai vào ngày mai.
Nếu cậu sẵn lòng, hãy trả lời ""Tôi đồng ý."""
Main_LahaiRoi_3_2_1_8,Có một điều này... Hơi kỳ lạ một chút...
Main_LahaiRoi_3_2_1_11,...Đ...ược?
Main_LahaiRoi_3_2_1_12,Xin lỗi. Đó là ý của Abby.
Main_LahaiRoi_3_2_1_9,Có thể mang theo vài món ăn vặt Spacetrek ngon lành đến buổi họp được không?
Main_LahaiRoi_3_2_1_13,Nếu không phù hợp cho buổi họp công việc thì cũng đừng lo.
Main_LahaiRoi_3_2_1_16,Tôi chấp nhận.
Main_LahaiRoi_3_2_1_14,"...Không, không sao đâu."
Main_LahaiRoi_3_2_1_15,Tôi sẽ ghi nhớ điều đó.
Main_LahaiRoi_3_2_1_17,Chắc chắn rồi. Ở đâu?
Main_LahaiRoi_3_2_1_18,Tôi không sao.
Main_LahaiRoi_3_2_10_1,"Chào, cậu là Astrid, mẹ của Maja phải không?"
Main_LahaiRoi_3_2_10_2,"Hm? Xin chào. Đúng, là tôi. Còn hai bạn là...?"
Main_LahaiRoi_3_2_10_3,"Đây là Giáo sư Mornye, thầy của Maja."
Main_LahaiRoi_3_2_10_5,Chúng tôi đến để thăm nhà.
Main_LahaiRoi_3_2_10_4,"Vâng, và đây là {PlayerName}, giáo sư cấp cao của Học viện."
Main_LahaiRoi_3_2_10_6,Một buổi thăm nhà...? Cô bé ấy có vi phạm nội quy trường à?
Main_LahaiRoi_3_2_10_7,Vâng. Cô ấy đã nghiêm trọng vi phạm quy trình thí nghiệm.
Main_LahaiRoi_3_2_10_8,Cô ấy đã chế tạo một con robot gây thiệt hại nghiêm trọng cho Học viện.
Main_LahaiRoi_3_2_10_9,Cái gì?! L-Làm sao cô ấy có thể...
Main_LahaiRoi_3_2_10_11,"Hình phạt có nặng không? Nếu cần bồi thường, tôi sẽ tự mình gánh chịu."
Main_LahaiRoi_3_2_10_12,Không cần bồi thường đâu.
Main_LahaiRoi_3_2_10_10,"Tôi vô cùng xin lỗi! Đáng lẽ tôi phải dạy dỗ cô ấy tốt hơn. Dù cô ấy đã làm gì đi chăng nữa, tôi xin thay mặt cô ấy gửi lời xin lỗi đến Học viện."
Main_LahaiRoi_3_2_10_13,Nhưng chúng tôi cần sự hợp tác của bạn trong việc xử lý vụ này.
Main_LahaiRoi_3_2_10_15,"V-vâng, như sư phụ tôi vừa giải thích..."
Main_LahaiRoi_3_2_10_14,"Giáo sư Mornye, ông có thể giải thích làm thế nào robot của Maja lại gây ra thiệt hại không?"
Main_LahaiRoi_3_2_10_18,Hư Vật?
Main_LahaiRoi_3_2_10_16,"Cô ấy... đã không tuân thủ đúng quy trình. Cô ấy đã sử dụng vật liệu Exoswarm không ổn định trong thiết kế của mình, khiến con robot hoạt động bất thường."
Main_LahaiRoi_3_2_10_17,Tôi đã nói chuyện với cô ấy về những nguy hiểm khi sử dụng vật liệu dễ bị Voidmatter xâm nhập trong quá trình nghiên cứu thực địa rồi.
Main_LahaiRoi_3_2_10_20,(Thái độ của cô ấy vừa thay đổi. Cô ấy đang che giấu điều gì đó. Có lẽ nên gây thêm áp lực.)
Main_LahaiRoi_3_2_10_19,"Có... chính xác thì cậu đang hỏi gì vậy? Xin lỗi, tớ chưa từng học ở Học viện Startorch của cậu. Tớ không rành mấy thuật ngữ của cậu đâu."
Main_LahaiRoi_3_2_10_21,"Chúng ta cần hiểu toàn bộ phạm vi lỗi của con robot này. Chúng tôi biết rằng sáng nay, chính cậu đã giúp Maja kích hoạt các robot và bật chế độ tự động."
Main_LahaiRoi_3_2_10_22,Đúng vậy. Chính xác như lời sư phụ của tôi đã nói.
Main_LahaiRoi_3_2_10_23,"Hãy dẫn chúng tôi đến hiện trường vụ việc. Khi đến nơi, tôi sẽ tái dựng lại hành động của lũ robot từ những dấu vết còn sót lại."
Main_LahaiRoi_3_2_10_25,"K-Không. Chúng ta không thể. Nếu lộ đường đi của lũ robot, nó sẽ phơi bày chuyện đó ra—"
Main_LahaiRoi_3_2_10_26,"""Thứ đó""?"
Main_LahaiRoi_3_2_10_27,Bạn đang giấu gì vậy?
Main_LahaiRoi_3_2_10_30,Đó là Bão Hư Không. Sao lại có thể thế? Tập thể chưa nhận được bất kỳ cảnh báo nào gần đây.
Main_LahaiRoi_3_2_10_28,"Tôi thực sự xin lỗi! Đúng là tôi đã nhờ Maja kích hoạt những con robot đó, nhưng... tôi không thể nhớ chính xác vị trí. Xin hãy quay lại—"
Main_LahaiRoi_3_2_10_31,"Trước tiên, chúng ta cần đảm bảo sự an toàn cho những người ở đây."
Main_LahaiRoi_3_2_10_32,Câu hỏi có thể đợi. Đi thôi.
Main_LahaiRoi_3_2_101_1,Ánh sáng vừa rồi... Chắc hẳn Mornye đã vào bên trong Bộ phận Điều khiển Phản ứng rồi.
Main_LahaiRoi_3_2_10_33,"Bạn và Mornye cải trang thành giáo sư của Học viện khi gặp Astrid, và nhanh chóng nhận ra cô ấy dường như đang che giấu điều gì đó. Đúng lúc ấy, một Cơn Bão Hư Không bất ngờ ập đến."
Main_LahaiRoi_3_2_101_2,"{PlayerName}, Tập thể Spacetrek đã kết nối với phương tiện của bạn và sẽ hỗ trợ!"
Main_LahaiRoi_3_2_101_3,Chúng ta không thể liên lạc với Giáo sư Mornye được. Cậu là hy vọng duy nhất của chúng ta lúc này!
Main_LahaiRoi_3_2_101_4,Giao cho tôi. Tôi sẽ tìm thấy cô ấy!
Main_LahaiRoi_3_2_13_1,Xuống đây. Đây là một thiết bị kỳ lạ nào đó.
Main_LahaiRoi_3_2_12_1,Hãy cẩn thận. Bầy Exoswarm ở đây đã bị nhiễm độc.
Main_LahaiRoi_3_2_13_3,Một thiết bị à? Để việc cơ khí cho tôi. Cẩn thận nào.
Main_LahaiRoi_3_2_14_1,Có vẻ là cái này.
Main_LahaiRoi_3_2_14_2,"Với việc tắt hệ thống này, Bão Hư Không đã biến mất."
Main_LahaiRoi_3_2_14_3,Đó có phải là một trong những Kỹ năng Cộng hưởng của cậu không?
Main_LahaiRoi_3_2_14_4,"Hả? Không, tôi–tôi chỉ đọc rất nhiều về chuyện này thôi..."
